artist,count
Eminem Featuring Joyner Lucas,14
Kanye West & Lil Pump,12
Meek Mill Featuring Drake,59
Maroon 5 Featuring Christina Aguilera,49
Jason Mraz,45
Jay Z Featuring Justin Timberlake,27
"Cardi B, Bad Bunny & J Balvin",51
3OH!3 Featuring Ke$ha,18
Selena Gomez Featuring A$AP Rocky,26
Lil Dicky Featuring Chris Brown,20
Chris Brown Featuring Drake,1
LOCASH,29
Jazmine Sullivan,12
Steel Magnolia,15
William Michael Morgan,9
Usher Featuring Jay-Z,16
Rihanna Featuring Future,20
Jimmy Fallon Featuring will.i.am,2
Matthew Schuler,2
The Fray,27
Drake Featuring Kanye West,2
Drake Featuring Jhene Aiko,2
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",16
Kacey Musgraves,17
Maddie & Tae,34
Trace Adkins,26
Pitbull Featuring Shakira,2
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",7
Chase Bryant,19
Chris Brown Featuring Justin Bieber,3
Ray J Featuring Bobby Brackins,3
Nicky Jam & Enrique Iglesias,30
YFN Lucci Featuring PnB Rock,20
Maluma,21
Darius Rucker,145
Rita Ora,15
Tech N9Ne Featuring 2 Chainz & B.o.B,7
Matt Nathanson,12
Hadouken!,15
Kevin Gates Featuring August Alsina,9
Jennifer Lopez Featuring Lil Wayne,15
Martin Solveig & Dragonette,20
Eric Paslay,42
Jana Kramer,41
Twista Featuring Chris Brown,14
Future Featuring T.I.,9
David Nail Featuring Sarah Buxton,20
Kid Cudi,4
Kelsea Ballerini,98
Elle King,38
Miranda Lambert Duet With Carrie Underwood,20
Cardi B Featuring Chance The Rapper,3
KIDS SEE GHOSTS,7
Matt McAndrew,4
Chris Brown & Tyga,20
The Weeknd Featuring Daft Punk,56
Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,10
Elvis Presley,1
Justin Bieber Featuring Chance The Rapper,3
Gucci Mane Featuring Drake,22
Drake Featuring Static Major & Ty Dolla $ign,3
The Ronettes,3
Perry Como,2
John Mayer,48
will.i.am Featuring Justin Bieber,16
Empire Cast Featuring Estelle & Jussie Smollett,2
Iggy Azalea,29
Maroon 5 Featuring Future,20
Liam Payne Featuring Quavo,28
Marshmello Featuring Khalid,22
